"name","total_spent","customer_category"
"Aarav","1982.10","Bronze"
"Arjun","4212.01","Silver"
"Manav","4302.86","Silver"
"Aditya","3879.36","Silver"
"Kunal","2108.72","Silver"
"Sara","6953.28","Gold"
"Lavanya","1519.57","Bronze"
"Riya","3613.42","Silver"
"Raj","2655.40","Silver"
"Shaurya","2795.38","Silver"
"Shreya","2295.67","Silver"
"Sneha","259.03","Bronze"
"Kunal","3458.83","Silver"
"Aditi","572.94","Bronze"
"Vivaan","3197.76","Silver"
"Nikhil","5574.12","Gold"
"Ira","1533.80","Bronze"
"Anika","662.77","Bronze"
"Siddharth","3782.80","Silver"
"Yash","6692.88","Gold"
"Reyansh","3634.09","Silver"
"Payal","1705.75","Bronze"
"Bhavya","6558.47","Gold"
"Amit","3506.19","Silver"
"Saanvi","3898.80","Silver"
"Navya","3496.80","Silver"
"Pari","4658.17","Silver"
"Varun","6907.93","Gold"
"Radhika","4883.31","Silver"
"Meera","1345.32","Bronze"
"Saanvi","6643.14","Gold"
"Harsh","1717.21","Bronze"
"Shreya","1800.29","Bronze"
"Shreya","9413.42","Gold"
"Sneha","1533.91","Bronze"
"Siddharth","5985.87","Gold"
"Ananya","3295.35","Silver"
"Dhruv","2772.40","Silver"
"Rohan","5119.02","Gold"
"Bhavya","5518.25","Gold"
"Arjun","1847.83","Bronze"
"Yash","5299.52","Gold"
"Vihaan","6422.62","Gold"
"Vivaan","4425.91","Silver"
"Aditya","5837.74","Gold"
"Arjun","383.49","Bronze"
"Arnav","3134.63","Silver"
"Navya","2219.11","Silver"
"Aniket","8027.87","Gold"
"Pooja","116.10","Bronze"
"Sai","7549.01","Gold"
"Aanya","3641.58","Silver"
"Manav","4217.06","Silver"
"Aniket","4033.71","Silver"
"Deepak","3802.88","Silver"
"Rohan","149.03","Bronze"
"Navya","2206.02","Silver"
"Sara","4775.08","Silver"
"Vihaan","982.20","Bronze"
"Meera","2146.42","Silver"
"Anjali","1908.37","Bronze"
"Vivaan","4861.89","Silver"
"Sai","2233.16","Silver"
"Pari","2166.33","Silver"
"Pooja","2175.73","Silver"
"Lavanya","814.88","Bronze"
"Harsh","3750.22","Silver"
"Karthik","8154.98","Gold"
"Neha","964.60","Bronze"
"Komal","2281.07","Silver"
"Aanya","6654.36","Gold"
"Myra","3345.26","Silver"
"Pari","528.80","Bronze"
"Vivaan","2933.60","Silver"
"Varun","5348.52","Gold"
"Manav","1832.05","Bronze"
"Vivaan","6936.75","Gold"
"Aditya","3015.46","Silver"
"Shaurya","2895.44","Silver"
"Manav","1926.13","Bronze"
"Atharv","3621.74","Silver"
"Payal","6629.96","Gold"
"Sara","7441.65","Gold"
"Siddharth","1491.43","Bronze"
"Payal","5770.70","Gold"
"Shreya","10911.27","Gold"
"Kunal","4836.69","Silver"
"Pari","6976.29","Gold"
"Ishaan","12916.17","Gold"
"Bhavya","100.08","Bronze"
"Shreya","2552.21","Silver"
"Payal","2444.95","Silver"
"Ananya","1450.38","Bronze"
"Arnav","353.45","Bronze"
"Aniket","4022.07","Silver"
"Priya","533.05","Bronze"
"Aditya","2264.34","Silver"
"Aarav","1911.25","Bronze"
"Anika","3259.94","Silver"
"Sneha","2024.30","Silver"
"Deepak","3254.19","Silver"
"Rahul","3666.29","Silver"
"Atharv","3550.51","Silver"
"Meera","8667.11","Gold"
"Siddharth","3101.26","Silver"
"Ishaan","6857.50","Gold"
"Karthik","3331.29","Silver"
"Deepak","3773.24","Silver"
"Varun","2002.62","Silver"
"Arnav","2053.59","Silver"
"Shaurya","2120.40","Silver"
"Muhammad","3015.32","Silver"
"Bhavya","1821.13","Bronze"
"Siddharth","3508.66","Silver"
"Ira","2342.04","Silver"
"Aanya","2236.33","Silver"
"Manav","5580.31","Gold"
"Yash","628.23","Bronze"
"Kavya","4155.29","Silver"
"Shaurya","2172.58","Silver"
"Diya","1002.78","Bronze"
"Ishaan","6326.28","Gold"
"Shreya","3828.02","Silver"
"Varun","5014.40","Gold"
"Swara","2183.34","Silver"
"Tanya","7904.99","Gold"
"Muhammad","865.56","Bronze"
"Swara","9843.44","Gold"
"Ishita","3601.97","Silver"
"Myra","1683.29","Bronze"
"Pooja","2309.07","Silver"
"Rohan","7514.85","Gold"
"Ayaan","2580.08","Silver"
"Saanvi","3347.84","Silver"
"Sara","7770.79","Gold"
"Vivaan","6622.70","Gold"
"Dhruv","3800.34","Silver"
"Aniket","3880.61","Silver"
"Sara","6624.56","Gold"
"Deepak","1662.18","Bronze"
"Reyansh","6633.90","Gold"
"Kunal","462.32","Bronze"
"Pari","570.62","Bronze"
"Simran","1914.95","Bronze"
"Bhavya","2966.90","Silver"
"Varun","6270.96","Gold"
"Simran","7233.20","Gold"
"Simran","4973.20","Silver"
"Arnav","3263.68","Silver"
"Sara","1390.27","Bronze"
"Komal","5470.66","Gold"
"Arjun","2590.53","Silver"
"Aniket","8570.93","Gold"
"Kavya","5877.48","Gold"
"Kavya","4053.80","Silver"
"Ishita","4006.65","Silver"
"Nikhil","2815.57","Silver"
"Aanya","1440.48","Bronze"
"Anjali","6258.84","Gold"
"Kabir","933.03","Bronze"
"Neha","4396.08","Silver"
"Swara","4484.95","Silver"
"Payal","3323.91","Silver"
"Karthik","629.25","Bronze"
"Aditya","2202.81","Silver"
"Anika","7063.31","Gold"
"Riya","7777.10","Gold"
"Riya","3754.28","Silver"
"Ira","6581.68","Gold"
"Varun","3383.91","Silver"
"Sara","5386.32","Gold"
"Raj","569.13","Bronze"
"Rahul","3284.12","Silver"
"Sai","912.46","Bronze"
"Manav","446.44","Bronze"
"Simran","4585.75","Silver"
"Raj","3148.29","Silver"
"Manav","4137.25","Silver"
"Ishita","3379.72","Silver"
"Vihaan","1953.39","Bronze"
"Amit","5479.96","Gold"
"Sneha","5921.39","Gold"
"Saanvi","10066.24","Gold"
"Aanya","5535.64","Gold"
"Atharv","666.45","Bronze"
"Tanya","3934.29","Silver"
"Varun","2258.11","Silver"
"Shreya","4333.58","Silver"
"Kavya","7810.10","Gold"
"Anjali","3831.27","Silver"
"Komal","8729.07","Gold"
"Aditi","4027.11","Silver"
"Riya","3378.23","Silver"
"Anika","7293.90","Gold"
"Lavanya","4543.59","Silver"
"Komal","6717.07","Gold"
"Sneha","4707.06","Silver"
"Aditya","7385.64","Gold"
"Sneha","1375.31","Bronze"
"Nandini","3337.59","Silver"
"Aditya","11669.31","Gold"
"Tanya","9629.84","Gold"
"Neha","6877.46","Gold"
"Kavya","3550.62","Silver"
"Tanya","5277.26","Gold"
"Ira","5494.17","Gold"
"Krishna","5710.74","Gold"
"Muhammad","2984.95","Silver"
"Radhika","4426.65","Silver"
"Ananya","3307.67","Silver"
"Ishaan","6160.03","Gold"
"Aniket","3376.43","Silver"
"Diya","7321.33","Gold"
"Tanya","1641.65","Bronze"
"Ananya","4393.03","Silver"
"Neha","13634.16","Gold"
"Anika","5538.53","Gold"
"Ananya","1370.09","Bronze"
"Saanvi","7521.42","Gold"
"Arjun","2941.90","Silver"
"Saanvi","1966.54","Bronze"
"Shreya","3292.31","Silver"
"Raj","3594.84","Silver"
"Payal","2840.08","Silver"
"Myra","2337.80","Silver"
"Yash","10500.20","Gold"
"Arnav","4932.88","Silver"
"Reyansh","6216.45","Gold"
"Aarav","687.02","Bronze"
"Myra","7576.98","Gold"
"Tanya","2617.36","Silver"
"Saanvi","3730.29","Silver"
"Atharv","1561.84","Bronze"
"Harsh","7138.47","Gold"
"Shreya","3762.89","Silver"
"Ananya","1372.59","Bronze"
"Tanya","3519.99","Silver"
"Pooja","3173.33","Silver"
"Deepak","1559.18","Bronze"
"Aanya","4719.16","Silver"
"Raj","6463.80","Gold"
"Raj","6151.83","Gold"
"Payal","1634.29","Bronze"
"Nandini","4699.76","Silver"
"Meera","9151.67","Gold"
"Swara","1950.78","Bronze"
"Kavya","3944.37","Silver"
"Bhavya","3988.09","Silver"
"Saanvi","3429.07","Silver"
"Ananya","2361.42","Silver"
"Siddharth","3327.90","Silver"
"Diya","4913.89","Silver"
"Simran","3959.04","Silver"
"Sneha","3068.84","Silver"
"Komal","2938.94","Silver"
"Harsh","1886.39","Bronze"
"Ayaan","5240.45","Gold"
"Saanvi","3992.08","Silver"
"Ananya","4465.58","Silver"
"Priya","3437.35","Silver"
"Neha","2711.22","Silver"
"Shaurya","5118.77","Gold"
"Nikhil","3436.23","Silver"
"Riya","6575.96","Gold"
"Anjali","3885.09","Silver"
"Meera","4539.18","Silver"
"Pooja","1574.93","Bronze"
"Manav","658.81","Bronze"
"Diya","3913.83","Silver"
"Ishita","5893.57","Gold"
"Arjun","3900.63","Silver"
"Anjali","8698.30","Gold"
"Rohan","2850.83","Silver"
"Atharv","4164.18","Silver"
"Lavanya","1911.68","Bronze"
"Nandini","2238.78","Silver"
"Riya","4958.45","Silver"
"Yash","7983.23","Gold"
"Sara","3365.03","Silver"
"Raj","3186.11","Silver"
"Aniket","1198.62","Bronze"
"Krishna","3374.83","Silver"
"Meera","3628.11","Silver"
"Rohan","2630.01","Silver"
"Reyansh","1859.43","Bronze"
"Shreya","6197.81","Gold"
"Sai","3819.67","Silver"
"Pooja","6550.26","Gold"
"Deepak","4054.78","Silver"
"Aditya","8262.18","Gold"
"Nandini","4034.43","Silver"
"Pooja","3885.20","Silver"
"Anjali","2034.28","Silver"
"Shaurya","1271.25","Bronze"
"Tanya","5542.25","Gold"
"Ira","5500.61","Gold"
